id,record_Number,account_number,account_type,account_limit,account_open_date,account_balance
01JAQ4GD3RA62K7E7W6EAMMAE2,1,3a70f43ab73aa6e34e8a6426c539e2db8d6e0563,credit,Account under review for suspicious activity,12/18/2023,1500.7
01JAQ4GD3SSYNZAEA38NKQM2BS,2,5f44d8ead53f1b0c34df1eab2fd32b4459591d08,checking,Account under review for suspicious activity,3/25/2024,3006.27
01JAQ4GD3TVMRS42YS32WRTNV5,3,a862b2eee574e329fc4297d47b61904906883e9d,savings,Account exceeded transaction limit,7/29/2024,5533.18
01JAQ4GD3TW1YQY17DNNPS9319,4,da18fa977afe35df7299e924352699747935fa3d,credit,Account under review for suspicious activity,4/15/2024,1459.12
01JAQ4GD3VX7ZZN69C2WXP06NF,5,cc9966e919a26de1bfbbdf35b0e2cefd6974f2c3,savings,Account temporarily restricted due to security concerns,2/11/2024,6460.38
01JAQ4GD3VMDZH0VZ6BMNRSMS7,6,674bb3aa4866a967b77577074299e5f0316a6fc8,investment,Account temporarily restricted due to security concerns,10/13/2024,6919.39
01JAQ4GD3WGEZCA8J7HW8NXM9A,7,0e4c30b75f20f2a573a18e08e885917c4221ce3f,savings,Account temporarily restricted due to security concerns,2/10/2024,2968.92
01JAQ4GD3WN1V3C9DSMZZK65Y7,8,627099bc71d4d7229c9744e4e2a7818bab701a20,checking,Account exceeded transaction limit,8/5/2024,6660.56
01JAQ4GD3XZR0GKME7CDWKAE1V,9,4639e6b06d52bc19b64e034aefcb6490ab91c452,investment,Account exceeded transaction limit,12/25/2023,7241.9
01JAQ4GD3XH3WNEADMR4ESJY4Y,10,b14736d7f1e2ff5132c29bf1277c7e2c61c83f2c,credit,Account under review for suspicious activity,12/13/2023,4024.61
01JAQ4GD3YAYBSARR0YS6W8568,11,afaa68e9f9287f57eeb157eccc7ffbb00d25a3d4,savings,Account exceeded transaction limit,1/21/2024,4158.72
